file,class
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,Doc
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,ParamSpec
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,ParamSpec
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_ConcatenateForm
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_TypeGuardForm
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_TypeIsForm
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_RequiredForm
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_ReadOnlyForm
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_UnpackSpecialForm
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_UnpackAlias
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_UnpackAlias
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_UnpackForm
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,TypeVarTuple
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,TypeVarTuple
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,Dummy
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py,CacheControlAdapter
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py,BaseCache
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py,DictCache
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py,SeparateBodyBaseCache
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py,CacheController
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py,CallbackFileWrapper
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py,BaseHeuristic
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py,OneDayCache
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py,ExpiresAfter
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py,LastModified
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py,Serializer
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py,_FileCacheMixin
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py,FileCache
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py,SeparateBodyFileCache
